Customer_ID,Onboarding_Date,KYC_Documents_Submitted,PAN_Number,Aadhaar_Number
X000036,01-04-2024,PAN only,QMZVH9647D,
X000037,01-04-2024,PAN + Aadhaar,OIBQQ8384K,3.3153E+11
X000038,01-04-2024,PAN + Aadhaar,FVWRY0336N,5.78871E+11
X000039,01-04-2024,Aadhaar only,,5.08658E+11
X000040,01-04-2024,PAN + Aadhaar,GUFHL9167E,21476676931
X000041,01-04-2024,PAN + Aadhaar,SYHBU8855M,5.95195E+11
X000042,01-04-2024,PAN + Aadhaar,GRCXG0148J,6.14496E+11
X000043,01-04-2024,PAN + Aadhaar,OELHH6573T,7.69891E+11
X000044,01-04-2024,Voter ID,,
X000045,01-04-2024,PAN + Aadhaar,RUWXZ0703R,3.56577E+11
X000046,01-04-2024,Aadhaar only,,4.96709E+11
X000047,01-04-2024,PAN + Aadhaar,ULCHK9483J,7.67508E+11
X000048,01-04-2024,Aadhaar only,,9.3401E+11
X000049,01-04-2024,Aadhaar only,ZZZ44YY,6.09517E+11
X000050,01-04-2024,PAN + Aadhaar,WGVJK9536R,3.40118E+11
X000051,01-04-2024,Passport,,
X000052,01-04-2024,PAN only,OHPAE3619Q,
X000053,01-04-2024,Voter ID,,
X000054,01-04-2024,Voter ID,,
X000055,01-04-2024,Aadhaar only,,9.12397E+11
X000056,01-04-2024,Voter ID,,
X000057,01-04-2024,PAN + Aadhaar,CXQDL3057I,3.93356E+11
X000058,01-04-2024,PAN + Aadhaar,FFAGJ1995Z,9.97181E+11
X000059,01-04-2024,PAN + Aadhaar,GXVCW4498X,4.58849E+11
X000060,01-04-2024,PAN + Aadhaar,KRRIQ7708B,8.91386E+11
X000061,01-04-2024,PAN + Aadhaar,DVEWE3482Q,2.90331E+11
X000062,01-04-2024,PAN + Aadhaar,WWAKL8341F,1.15267E+11
X000063,01-04-2024,PAN only,SPZDY8488C,
X000064,01-04-2024,PAN + Aadhaar,RMIRI1952A,8.51082E+11
X000065,01-04-2024,PAN + Aadhaar,OPROE5331B,5.83755E+11
X000066,01-04-2024,Aadhaar only,,8.57817E+11
X000067,01-04-2024,PAN + Aadhaar,MEZWX6299W,9.04298E+11
X000068,01-04-2024,PAN only,NIGYR4026P,
X000069,01-04-2024,PAN + Aadhaar,MTFZG8880R,6.51151E+11
X000070,01-04-2024,Passport,,
X000071,01-04-2024,PAN only,LUVBI3289D,
X000072,01-04-2024,PAN + Aadhaar,WPFES7471E,2.84749E+11
X000073,01-04-2024,PAN + Aadhaar,TNFND2757G,9.23892E+11
X000074,01-04-2024,PAN only,KGKXQ3904U,
X000075,01-04-2024,PAN only,PTNPS1883M,
X000076,01-04-2024,PAN only,EBHIU9372E,
X000077,01-04-2024,PAN only,XMNCH0146Z,
X000078,01-04-2024,PAN + Aadhaar,NPHJW8928B,4.11642E+11
X000079,01-04-2024,PAN + Aadhaar,GQVWD3379D,2.4232E+11
X000080,01-04-2024,PAN + Aadhaar,MMIJO7377L,9.9294E+11
X000081,01-04-2024,Voter ID,,
X000082,01-04-2024,Aadhaar only,,8.07945E+11
X000083,01-04-2024,PAN + Aadhaar,LINIZ0865O,7.78834E+11
X000084,01-04-2024,PAN + Aadhaar,CBAFR2365Q,5.43965E+11
X000085,02-04-2024,PAN + Aadhaar,MORVX2237V,6.76428E+11
X000086,02-04-2024,PAN + Aadhaar,ZRMZM8536D,4.90316E+11
X000087,02-04-2024,PAN only,TCVZK3219T,
X000088,02-04-2024,Aadhaar only,,2.80787E+11
X000089,02-04-2024,Voter ID,,
X000090,02-04-2024,PAN + Aadhaar,MVQBT1335V,8.53925E+11
X000091,02-04-2024,PAN + Aadhaar,LTQRV8079Y,6.70991E+11
X000092,02-04-2024,PAN only,IVIJZ4774Y,
X000093,02-04-2024,PAN only,IZAVY1082X,
X000094,02-04-2024,Aadhaar only,,6.74699E+11
X000095,02-04-2024,PAN only,CQHKG5474L,
X000096,02-04-2024,PAN + Aadhaar,DQJNP7373P,1.97358E+11
X000097,02-04-2024,Aadhaar only,,9.66637E+11
X000098,02-04-2024,PAN + Aadhaar,IXYME3396J,1.71722E+11
X000099,02-04-2024,PAN + Aadhaar,BNFQW4115N,7.79351E+11
X000100,02-04-2024,PAN + Aadhaar,RRCDB6891I,5.65597E+11
X000101,02-04-2024,PAN + Aadhaar,YUZMD1458T,7.95814E+11
X000102,02-04-2024,Aadhaar only,,1.03648E+11
X000103,02-04-2024,PAN + Aadhaar,ETIXR8085N,891146617
X000104,02-04-2024,Aadhaar only,,3.08591E+11
X000105,02-04-2024,Voter ID,,
X000106,02-04-2024,PAN + Aadhaar,YXY58ZX,7.0219E+11
X000107,02-04-2024,PAN + Aadhaar,DPNPM6174R,6.55919E+11
X000108,02-04-2024,PAN only,IUZII2881Y,
X000109,02-04-2024,PAN + Aadhaar,GMXUO6769N,7.44625E+11
X000110,02-04-2024,PAN + Aadhaar,HNHDM3652R,8.22886E+11
X000111,02-04-2024,PAN + Aadhaar,ZTLYO7723F,1.43936E+11
X000112,02-04-2024,PAN + Aadhaar,RIENE8290T,2.13294E+11
X000113,02-04-2024,Voter ID,,
X000114,02-04-2024,PAN only,MHEJJ4311M,
X000115,02-04-2024,Aadhaar only,,3.42542E+11
X000116,02-04-2024,Voter ID,,
X000117,02-04-2024,PAN only,URQHD8503F,
X000118,02-04-2024,PAN + Aadhaar,KRFNK0677D,36853090964
X000119,02-04-2024,Voter ID,,
X000120,02-04-2024,Aadhaar only,,3.32412E+11
X000121,02-04-2024,PAN only,CIDHK9745E,
X000122,02-04-2024,Voter ID,,
X000123,02-04-2024,PAN + Aadhaar,ERRUB3140I,5.78689E+11
X000124,02-04-2024,PAN + Aadhaar,HOURT9072Y,2.4743E+11
X000125,02-04-2024,PAN + Aadhaar,OZRAU9592C,7.07049E+11
X000126,02-04-2024,PAN + Aadhaar,TMSKY2544Z,3.14371E+11
X000127,02-04-2024,PAN only,JQBFP0010Y,
X000128,02-04-2024,Voter ID,ZZY98YX,
X000129,02-04-2024,PAN + Aadhaar,SEOAM4668O,4.85989E+11
X000130,02-04-2024,Aadhaar only,,4.7176E+11
X000131,02-04-2024,PAN + Aadhaar,MRSNB3369J,7.04839E+11
X000132,02-04-2024,PAN + Aadhaar,NMXAG0833H,7.83634E+11
X000133,02-04-2024,PAN + Aadhaar,IKQCD5308M,5.96369E+11
X000134,02-04-2024,PAN + Aadhaar,NMLFZ1895O,9.23886E+11
X000135,02-04-2024,Voter ID,,
X000136,02-04-2024,PAN + Aadhaar,BITQN7595T,3.44526E+11
X000137,02-04-2024,Aadhaar only,,3.76029E+11
X000138,02-04-2024,PAN only,WHVJG4417M,
X000139,02-04-2024,PAN + Aadhaar,TXBWB4302Q,8.4058E+11
X000140,02-04-2024,Passport,,
X000141,02-04-2024,Passport,,
X000142,02-04-2024,PAN + Aadhaar,FTUBS2601U,3.14403E+11
X000143,02-04-2024,PAN + Aadhaar,FRWXO3693I,8.74773E+11
X000144,02-04-2024,PAN + Aadhaar,SZLLF9928U,9.35797E+11
X000145,02-04-2024,PAN + Aadhaar,JNCLC0279W,6.08141E+11
X000146,02-04-2024,PAN + Aadhaar,FBWZO8881D,8.59545E+11
X000147,02-04-2024,Aadhaar only,,4.66619E+11
X000148,02-04-2024,Aadhaar only,,8.88121E+11
X000149,02-04-2024,PAN + Aadhaar,OXGZR3980J,7.50672E+11
X000150,02-04-2024,PAN + Aadhaar,KEJQC0070Z,6.12893E+11
X000151,02-04-2024,Voter ID,,
X000152,02-04-2024,PAN + Aadhaar,FFAXE1345O,3.7498E+11
X000153,02-04-2024,PAN + Aadhaar,BQLED7597I,7.24059E+11
X000154,02-04-2024,PAN + Aadhaar,CABLS4618U,5.27984E+11
X000155,02-04-2024,Passport,,
X000156,02-04-2024,PAN + Aadhaar,STSGW3200L,7.63706E+11
X000157,02-04-2024,Aadhaar only,,4.41249E+11
X000158,02-04-2024,PAN only,GSLUV0010J,
X000159,02-04-2024,PAN + Aadhaar,JQCIA5278Z,3.32266E+11
X000160,02-04-2024,PAN only,XRXMZ8083L,
X000161,02-04-2024,PAN + Aadhaar,SKPUG9146O,4.74586E+11
X000162,02-04-2024,Aadhaar only,,4.58599E+11
X000163,02-04-2024,Aadhaar only,,4.25082E+11
X000164,02-04-2024,Aadhaar only,,6.85042E+11
X000165,02-04-2024,PAN + Aadhaar,YJSAL9810E,2.15024E+11
X000166,02-04-2024,PAN only,EQVID3091E,
X000167,02-04-2024,PAN + Aadhaar,CGFRX9490L,1.9029E+11
X000168,02-04-2024,PAN + Aadhaar,PGJKP4097R,4.67946E+11
X000169,03-04-2024,PAN + Aadhaar,YYASC4015H,6.20984E+11
X000170,03-04-2024,Aadhaar only,,2.56287E+11
X000171,03-04-2024,Aadhaar only,,4.25918E+11
X000172,03-04-2024,PAN + Aadhaar,TTDKU3357I,6.16814E+11
X000173,03-04-2024,Aadhaar only,,3.68173E+11
X000174,03-04-2024,PAN + Aadhaar,QXNLO2913Z,6.99277E+11
X000175,03-04-2024,Aadhaar only,,8.65522E+11
X000176,03-04-2024,PAN + Aadhaar,ZSIYP4905K,6.58383E+11
X000177,03-04-2024,Aadhaar only,,2.29009E+11
X000178,03-04-2024,PAN + Aadhaar,IRTXH5694N,3.3433E+11
X000179,03-04-2024,Voter ID,,
X000180,03-04-2024,PAN + Aadhaar,CUHCX1119G,8.45262E+11
X000181,03-04-2024,PAN + Aadhaar,RZRPE6928G,4.47536E+11
X000182,03-04-2024,PAN + Aadhaar,MJDWI2789C,91866161370
X000183,03-04-2024,Voter ID,,
X000184,03-04-2024,Voter ID,,
X000185,03-04-2024,PAN + Aadhaar,YFAZI3037Z,2.56513E+11
X000186,03-04-2024,Aadhaar only,,7.45313E+11
X000187,03-04-2024,PAN only,RIAMH7445C,
X000188,03-04-2024,Aadhaar only,,9.90701E+11
X000189,03-04-2024,Aadhaar only,,1.4994E+11
X000190,03-04-2024,PAN + Aadhaar,VLDWB0936F,8.98482E+11
X000191,03-04-2024,PAN + Aadhaar,FMEAD3911Z,4.16323E+11
X000192,03-04-2024,Voter ID,,
X000193,03-04-2024,Voter ID,,
X000194,03-04-2024,Aadhaar only,,6.37706E+11
X000195,03-04-2024,PAN + Aadhaar,TZFBA0561Y,3.99246E+11
X000196,03-04-2024,PAN + Aadhaar,WDWID3642G,8.86361E+11
X000197,03-04-2024,PAN only,GBUUY4986X,447440100
X000198,03-04-2024,Voter ID,,
X000199,03-04-2024,Voter ID,,
X000200,03-04-2024,PAN only,ISFXA9317H,
X000201,03-04-2024,Aadhaar only,,2.28226E+11
X000202,03-04-2024,PAN + Aadhaar,YHPHQ1769Q,39331719188
X000203,03-04-2024,PAN + Aadhaar,ZZY21YZ,6.07556E+11
X000204,03-04-2024,Voter ID,,
X000205,03-04-2024,Aadhaar only,,2.88723E+11
X000206,03-04-2024,PAN + Aadhaar,YYYKF0368V,3.4922E+11
X000207,03-04-2024,PAN + Aadhaar,ULFMG4654B,7.24383E+11
X000208,03-04-2024,Aadhaar only,,6.96658E+11
X000209,03-04-2024,PAN + Aadhaar,UNXAX7606M,9.46876E+11
X000210,03-04-2024,PAN + Aadhaar,JBXBP8717R,6.75302E+11
X000211,03-04-2024,Aadhaar only,,1.16065E+11
X000212,03-04-2024,Aadhaar only,,2.75371E+11
X000213,03-04-2024,Aadhaar only,,1.56827E+11
X000214,03-04-2024,PAN + Aadhaar,MYWET8686P,2.30882E+11
X000215,03-04-2024,PAN only,WXPMO3742K,
X000216,03-04-2024,PAN + Aadhaar,HQMZP5274X,5.64555E+11
X000217,03-04-2024,PAN + Aadhaar,GJLZT3915D,9.66147E+11
X000218,03-04-2024,PAN only,NQEVI5555U,
X000219,03-04-2024,Aadhaar only,,66967759690
X000220,03-04-2024,PAN only,CHSHS4599R,
X000221,03-04-2024,Aadhaar only,,3.93162E+11
X000222,03-04-2024,Aadhaar only,,4.82907E+11
X000223,03-04-2024,PAN + Aadhaar,RAINS4989H,8.56676E+11
X000224,03-04-2024,PAN + Aadhaar,NSHVH2724C,86865109494
X000225,03-04-2024,PAN + Aadhaar,IXXRK3776S,2.99506E+11
X000226,03-04-2024,PAN + Aadhaar,JCEDL1082V,9.91511E+11
X000227,03-04-2024,Passport,,
X000228,03-04-2024,PAN + Aadhaar,LHHTF9855D,3.97103E+11
X000229,03-04-2024,Voter ID,,
X000230,03-04-2024,Aadhaar only,,6.25216E+11
X000231,03-04-2024,PAN only,MXAOJ4572L,
X000232,03-04-2024,Aadhaar only,,7.32112E+11
X000233,03-04-2024,Aadhaar only,,6.23796E+11
X000234,03-04-2024,PAN + Aadhaar,PUDVI4888V,5.41679E+11
X000235,03-04-2024,PAN + Aadhaar,CTYHT1955V,2.66673E+11
X000236,03-04-2024,PAN only,PPTEF8892Q,
X000237,03-04-2024,PAN + Aadhaar,NHKGY3174S,4.954E+11
X000238,03-04-2024,PAN + Aadhaar,LRKVS2622D,5.97455E+11
X000239,03-04-2024,Aadhaar only,,1.31599E+11
X000240,03-04-2024,PAN + Aadhaar,IJIVZ5111L,5.22881E+11
X000241,03-04-2024,Voter ID,,
X000242,03-04-2024,Passport,,
X000243,03-04-2024,Voter ID,,
X000244,03-04-2024,PAN + Aadhaar,VLPRM3933M,1.10653E+11
X000245,03-04-2024,PAN + Aadhaar,GJBTB7862M,5.45877E+11
X000246,03-04-2024,Voter ID,,
X000247,03-04-2024,PAN + Aadhaar,FLNNN0477C,9.9191E+11
X000248,03-04-2024,Passport,,
X000249,03-04-2024,Passport,,
X000250,03-04-2024,Voter ID,,
X000251,03-04-2024,PAN + Aadhaar,KAKQM1393X,6.02883E+11
X000252,03-04-2024,PAN + Aadhaar,CJKFR7354G,5.2499E+11
X000253,04-04-2024,Voter ID,,
X000254,04-04-2024,PAN + Aadhaar,XQMIY6092Z,7.93676E+11
X000255,04-04-2024,PAN + Aadhaar,TOVJK8324C,7.51511E+11
X000256,04-04-2024,Aadhaar only,,9.49502E+11
X000257,04-04-2024,Voter ID,,
X000258,04-04-2024,Aadhaar only,,8.82956E+11
X000259,04-04-2024,Aadhaar only,,2.41509E+11
X000260,04-04-2024,PAN + Aadhaar,LNKJK1295F,8.80506E+11
X000261,04-04-2024,Aadhaar only,,2.16196E+11
X000262,04-04-2024,Passport,,
X000263,04-04-2024,PAN + Aadhaar,AXPRS2606H,4.45366E+11
X000264,04-04-2024,Aadhaar only,,5.89961E+11
X000265,04-04-2024,Voter ID,,
X000266,04-04-2024,PAN only,ZZKIN0960X,
X000267,04-04-2024,Aadhaar only,,2.94511E+11
X000268,04-04-2024,PAN only,VDPSU0288J,868661259
X000269,04-04-2024,PAN + Aadhaar,NDDBT4621K,20869269505
X000270,04-04-2024,PAN + Aadhaar,EKJRX7421Y,1.70387E+11
X000271,04-04-2024,PAN only,FLBAK8541Q,
X000272,04-04-2024,PAN only,JNEMS1200H,
X000273,04-04-2024,Voter ID,,
X000274,04-04-2024,Voter ID,,
X000275,04-04-2024,Aadhaar only,,156408873
X000276,04-04-2024,Aadhaar only,,6.00295E+11
X000277,04-04-2024,PAN only,SVHJO7814Y,
X000278,04-04-2024,Aadhaar only,,7.66921E+11
X000279,04-04-2024,PAN only,WBOSP9047Q,
X000280,04-04-2024,PAN only,AEMTY6153T,
X000281,04-04-2024,Voter ID,,
X000282,04-04-2024,PAN + Aadhaar,CSHFY4948M,5.54934E+11
X000283,04-04-2024,PAN + Aadhaar,BUYZM0773Q,1.50776E+11
X000284,04-04-2024,PAN + Aadhaar,QHIRD9185R,1.28232E+11
X000285,04-04-2024,Aadhaar only,,1.29444E+11
X000286,04-04-2024,PAN + Aadhaar,CSCPC5088J,4.83654E+11
X000287,04-04-2024,PAN + Aadhaar,OWLVC2626L,2.94926E+11
X000288,04-04-2024,Aadhaar only,,9.04244E+11
X000289,04-04-2024,PAN + Aadhaar,QUQPC9739L,68241034323
X000290,04-04-2024,Aadhaar only,,7.9194E+11
X000291,04-04-2024,PAN + Aadhaar,HYWNH0632H,3.48377E+11
X000292,04-04-2024,PAN + Aadhaar,PBWJM1209D,7.53036E+11
X000293,04-04-2024,PAN only,TTAJK1461F,
X000294,04-04-2024,PAN + Aadhaar,OACHY8452O,2.26549E+11
X000295,04-04-2024,PAN + Aadhaar,YZX10YZ,3.84505E+11
X000296,04-04-2024,Aadhaar only,,1.60259E+11
X000297,04-04-2024,PAN only,PJLHY7766U,
X000298,04-04-2024,PAN + Aadhaar,ODELB3944D,4.10307E+11
X000299,04-04-2024,Aadhaar only,,6.87586E+11
X000300,04-04-2024,PAN + Aadhaar,XVWNA7222X,2.6512E+11
X000301,04-04-2024,PAN + Aadhaar,EYWIF5303F,8.35059E+11
X000302,04-04-2024,Aadhaar only,,9.23557E+11
X000303,04-04-2024,Aadhaar only,,6.61758E+11
X000304,04-04-2024,Aadhaar only,,4.59279E+11
X000305,04-04-2024,PAN only,ATLCW3047L,
X000306,04-04-2024,Passport,,
X000307,04-04-2024,Aadhaar only,,1.79288E+11
X000308,04-04-2024,PAN + Aadhaar,CQGKQ2121G,6.5287E+11
X000309,04-04-2024,PAN only,PKUVP9455H,
X000310,04-04-2024,PAN + Aadhaar,MLPXZ7439A,3.95799E+11
X000311,04-04-2024,PAN + Aadhaar,NZQMO5798R,7.17809E+11
X000312,04-04-2024,PAN + Aadhaar,ADDGQ1400J,7.24787E+11
X000313,04-04-2024,PAN + Aadhaar,FPDQN4044A,6.31682E+11
X000314,04-04-2024,Passport,,
X000315,04-04-2024,PAN only,VODEX1785T,
X000316,04-04-2024,Aadhaar only,,372719270
X000317,04-04-2024,PAN + Aadhaar,RFCCA5393L,5.42094E+11
X000318,04-04-2024,PAN + Aadhaar,UVDBK8476Y,5.49533E+11
X000319,04-04-2024,PAN + Aadhaar,OSIRU6212V,3.06149E+11
X000320,04-04-2024,PAN + Aadhaar,NCAOY9669I,24747025781
X000321,04-04-2024,Aadhaar only,,7.42382E+11
X000322,04-04-2024,PAN only,YJKNX4548W,
X000323,04-04-2024,Aadhaar only,,3.89816E+11
X000324,04-04-2024,PAN + Aadhaar,WDPMD3341D,9.97964E+11
X000325,04-04-2024,Passport,,
X000326,04-04-2024,PAN only,GRRJA5010A,
X000327,04-04-2024,Aadhaar only,,5.11933E+11
X000328,04-04-2024,Aadhaar only,,7.74331E+11
X000329,04-04-2024,PAN + Aadhaar,UJOTN5932M,99771123858
X000330,04-04-2024,PAN + Aadhaar,SLXHY5167S,6.33291E+11
X000331,04-04-2024,PAN + Aadhaar,MHHPI0314N,6.59036E+11
X000332,04-04-2024,PAN only,BLHSL4686Q,
X000333,04-04-2024,PAN + Aadhaar,FDIZW9076R,8.72782E+11
X000334,04-04-2024,PAN + Aadhaar,XTJPZ4203W,2.95103E+11
X000335,04-04-2024,PAN + Aadhaar,OYSXB4487O,4.75124E+11
X000336,04-04-2024,PAN + Aadhaar,ZMVOR3339S,3.00298E+11
X000337,05-04-2024,Voter ID,,
X000338,05-04-2024,PAN only,LAMRI0390I,
X000339,05-04-2024,PAN + Aadhaar,VGZOW2461D,2.57386E+11
X000340,05-04-2024,PAN + Aadhaar,USQCL5323M,5.95993E+11
X000341,05-04-2024,PAN + Aadhaar,HWYNU1429R,2.25929E+11
X000342,05-04-2024,PAN + Aadhaar,YLLUS7572V,5.66887E+11
X000343,05-04-2024,PAN + Aadhaar,FPFJI9759O,9.17286E+11
X000344,05-04-2024,PAN + Aadhaar,HZHAO2696B,8.81751E+11
X000345,05-04-2024,PAN + Aadhaar,VPDKV2414F,5.83861E+11
X000346,05-04-2024,Aadhaar only,,6.38427E+11
X000347,05-04-2024,Aadhaar only,,6.2864E+11
X000348,05-04-2024,PAN + Aadhaar,KDJDR3512L,95085874622
X000349,05-04-2024,PAN + Aadhaar,HYUUW2397E,5.25039E+11
X000350,05-04-2024,Aadhaar only,,8.78427E+11
X000351,05-04-2024,Aadhaar only,,3.14274E+11
X000352,05-04-2024,Voter ID,,
X000353,05-04-2024,Aadhaar only,,4.72678E+11
X000354,05-04-2024,PAN + Aadhaar,ZVMTM5945D,1.39802E+11
X000355,05-04-2024,PAN + Aadhaar,XCKSH4607I,4.73929E+11
X000356,05-04-2024,Aadhaar only,,2.58337E+11
X000357,05-04-2024,PAN + Aadhaar,OXPYB7684Q,9673303924
X000358,05-04-2024,Aadhaar only,,7.10694E+11
X000359,05-04-2024,Voter ID,,
X000360,05-04-2024,Aadhaar only,,9.56978E+11
X000361,05-04-2024,PAN + Aadhaar,HSCSQ0586S,9.93353E+11
X000362,05-04-2024,Aadhaar only,,3.04758E+11
X000363,05-04-2024,PAN + Aadhaar,GYCMQ1065L,7.0374E+11
X000364,05-04-2024,Aadhaar only,,5.67039E+11
X000365,05-04-2024,Voter ID,,
X000366,05-04-2024,PAN + Aadhaar,HAFBG0740F,7.16304E+11
X000367,05-04-2024,Passport,,
X000368,05-04-2024,Voter ID,,
X000369,05-04-2024,PAN + Aadhaar,DCCIG3868Q,38927627175
X000370,05-04-2024,PAN + Aadhaar,KXHCQ6826J,6.71734E+11
X000371,05-04-2024,PAN + Aadhaar,REEAV4373X,7.29503E+11
X000372,05-04-2024,PAN + Aadhaar,BIRIE7786O,2.05289E+11
X000373,05-04-2024,PAN + Aadhaar,FUKPJ9107F,3.80836E+11
X000374,05-04-2024,Aadhaar only,,5.03276E+11
X000375,05-04-2024,PAN + Aadhaar,LKMBT6767Z,5.54935E+11
X000376,05-04-2024,PAN + Aadhaar,QIMXS3227V,2.99467E+11
X000377,05-04-2024,PAN only,UQEYM6143Z,
X000378,05-04-2024,PAN + Aadhaar,XVFNX8334M,3.52753E+11
X000379,05-04-2024,PAN only,WPURT8202V,
X000380,05-04-2024,PAN + Aadhaar,AUOQN0495E,99740101432
X000381,05-04-2024,PAN + Aadhaar,RCTVH1615N,1.86687E+11
X000382,05-04-2024,Aadhaar only,,6.29643E+11
X000383,05-04-2024,Aadhaar only,,7.41689E+11
X000384,05-04-2024,Voter ID,,
X000385,05-04-2024,PAN only,FCZKI0476B,
X000386,05-04-2024,PAN only,HGSZN1518O,
X000387,05-04-2024,PAN + Aadhaar,RVVKR2456G,4.85678E+11
X000388,05-04-2024,PAN + Aadhaar,ZVYTU1268U,6.65233E+11
X000389,05-04-2024,PAN only,YVCKU6639Q,
X000390,05-04-2024,PAN only,GKHZM8716Q,
X000391,05-04-2024,Passport,,
X000392,05-04-2024,PAN + Aadhaar,SLOFE4513C,1.18047E+11
X000393,05-04-2024,PAN + Aadhaar,KXCRZ2555S,8.89381E+11
X000394,05-04-2024,PAN only,JGMPW2664I,
X000395,05-04-2024,PAN + Aadhaar,DOBFP9523W,2.49952E+11
X000396,05-04-2024,Voter ID,,
X000397,05-04-2024,Voter ID,,
X000398,05-04-2024,PAN + Aadhaar,GKRJU8169L,1.16045E+11
X000399,05-04-2024,PAN only,ESKXF5795M,
X000400,05-04-2024,PAN only,OJBOZ4526N,
X000401,05-04-2024,PAN + Aadhaar,TUBLJ8908T,8.94746E+11
X000402,05-04-2024,Voter ID,,
X000403,05-04-2024,Aadhaar only,,44854244637
X000404,05-04-2024,PAN only,RFJEN4527O,
X000405,05-04-2024,PAN + Aadhaar,RFIYE5334C,8.24698E+11
X000406,05-04-2024,Voter ID,,
X000407,05-04-2024,PAN + Aadhaar,UQEPD3919T,7.04159E+11
X000408,05-04-2024,PAN + Aadhaar,XKFSB0430F,3.12559E+11
X000409,05-04-2024,Voter ID,,
X000410,05-04-2024,PAN + Aadhaar,RZGBX5492G,6.58727E+11
X000411,05-04-2024,PAN + Aadhaar,LLFSM3946O,7.79758E+11
X000412,05-04-2024,Passport,,
X000413,05-04-2024,Passport,,
X000414,05-04-2024,Aadhaar only,,8.0173E+11
X000415,05-04-2024,Aadhaar only,,7.92884E+11
X000416,05-04-2024,PAN + Aadhaar,RGMPB2346K,75229077614
X000417,05-04-2024,PAN + Aadhaar,NBJBB5482T,1.60637E+11
X000418,05-04-2024,PAN + Aadhaar,XPGNZ5505Z,2.83864E+11
X000419,05-04-2024,Aadhaar only,,5.18721E+11
X000420,06-04-2024,PAN only,LUWKS7094D,
X000421,06-04-2024,PAN only,GPZHE0094H,
X000422,06-04-2024,PAN only,YHSLB1707W,
X000423,06-04-2024,PAN + Aadhaar,WSTIG3666Q,3.99683E+11
X000424,06-04-2024,PAN + Aadhaar,JCUMF1613Z,5.14648E+11
X000425,06-04-2024,PAN + Aadhaar,ZJVXT8935M,8.16863E+11
X000426,06-04-2024,Aadhaar only,,4.52265E+11
X000427,06-04-2024,PAN + Aadhaar,NDXTA8158T,6.13865E+11
X000428,06-04-2024,Voter ID,YXZ69YX,
X000429,06-04-2024,PAN + Aadhaar,ELPBU8598J,28740405385
X000430,06-04-2024,PAN + Aadhaar,RRKVD7223A,8.20872E+11
X000431,06-04-2024,PAN + Aadhaar,WDMAF3034K,6.71644E+11
X000432,06-04-2024,PAN only,DMADY5296D,
X000433,06-04-2024,Aadhaar only,,4.78243E+11
X000434,06-04-2024,PAN + Aadhaar,UVNDZ4101I,1.10325E+11
X000435,06-04-2024,PAN + Aadhaar,MWGKP5749M,6.75716E+11
X000436,06-04-2024,PAN only,UKNRD3552N,
X000437,06-04-2024,PAN + Aadhaar,GOGPI1092D,7.69239E+11
X000438,06-04-2024,PAN only,UCIAY5124J,
X000439,06-04-2024,PAN only,EBKWN6543T,
X000440,06-04-2024,PAN + Aadhaar,BXXWG2714B,5.84727E+11
